"","X","license","name","address","lon","lat","quadrant","subhood","year","firstYr"
"32",32,"ABRA000259","mr. henry's","601 PENNSYLVANIA AVE SE, Washington DC",-76.9982665,38.8852078,"SE","Capitol Hill",2016,2008
"33",33,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2008,2008
"34",34,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2009,2008
"35",35,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2010,2008
"36",36,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2011,2008
"37",37,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2012,2008
"38",38,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2013,2008
"39",39,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2014,2008
"40",40,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2015,2008
"41",41,"ABRA000377","the monocle","107 D ST NE, Washington DC",-77.0051659,38.8946433,"Capitol","The Capitol Grounds",2016,2008
"42",42,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2008,2008
"43",43,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2009,2008
"44",44,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2010,2008
"45",45,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2011,2008
"46",46,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2012,2008
"47",47,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2013,2008
"48",48,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2014,2008
"49",49,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2015,2008
"50",50,"ABRA000460","millie's and al's ballances columbia restaurant","2440 18TH ST NW, Washington DC",-77.0427021,38.921691,"NW","Washington Heights",2016,2008
"51",51,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2008,2008
"52",52,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2009,2008
"53",53,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2010,2008
"54",54,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2011,2008
"55",55,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2012,2008
"56",56,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2013,2008
"57",57,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2014,2008
"58",58,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2015,2008
"59",59,"ABRA000514","wah sing restaurant","2521 PENNSYLVANIA AVE SE, Washington DC",-76.970273,38.8732374,"SE","Randle Highlands",2016,2008
"60",60,"ABRA000522","yenching palace","3524 CONNECTICUT AVE NW, Washington DC",-77.0595408,38.9364301,"NW","Cleveland Park",2008,2008
"61",61,"ABRA000522","yenching palace","3524 CONNECTICUT AVE NW, Washington DC",-77.0595408,38.9364301,"NW","Cleveland Park",2009,2008
"62",62,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2008,2008
"63",63,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2009,2008
"64",64,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2010,2008
"65",65,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2011,2008
"66",66,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2012,2008
"67",67,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2013,2008
"68",68,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2014,2008
"69",69,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2015,2008
"70",70,"ABRA000523","the rhino-bar & pumphouse","3295 M ST NW, Washington DC",-77.06586,38.905312,"NW","West Village Georgetown",2016,2008
"71",71,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2008,2008
"72",72,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2009,2008
"73",73,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2010,2008
"74",74,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2011,2008
"75",75,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2012,2008
"76",76,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2013,2008
"77",77,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2014,2008
"78",78,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2015,2008
"79",79,"ABRA000559","tune inn restaurant","331 PENNSYLVANIA AVE SE, Washington DC",-77.001167,38.886369,"SE","Capitol Hill",2016,2008
"80",80,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2008,2008
"81",81,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2009,2008
"82",82,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2010,2008
"83",83,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2011,2008
"84",84,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2012,2008
"85",85,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2013,2008
"86",86,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2014,2008
"87",87,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2015,2008
"88",88,"ABRA000585","old europe","2434 WISCONSIN AVE NW, Washington DC",-77.0728323,38.9218093,"NW","Glover Park",2016,2008
"89",89,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2008,2008
"90",90,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2009,2008
"91",91,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2010,2008
"92",92,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2011,2008
"93",93,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2012,2008
"94",94,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2013,2008
"95",95,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2014,2008
"96",96,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2015,2008
"97",97,"ABRA000604","el centro d. f.","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2016,2008
"98",98,"ABRA000604.1","the taqueria","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2010,2010
"99",99,"ABRA000604.1","the taqueria","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2011,2010
"100",100,"ABRA000604.1","the taqueria","1218 WISCONSIN AVE NW, Washington DC",-77.0630393,38.9056872,"NW","West Village Georgetown",2012,2010
"101",101,"ABRA000623","a v ristorante italiano","605 NEW YORK AVE NW, Washington DC",-77.020265,38.903788,"NW","Mt. Vernon Square",2008,2008
"102",102,"ABRA000623","a v ristorante italiano","605 NEW YORK AVE NW, Washington DC",-77.020265,38.903788,"NW","Mt. Vernon Square",2009,2008
"103",103,"ABRA000654","seven seas restaurant","5915 GEORGIA AVE NW, Washington DC",-77.02766,38.961231,"NW","Brightwood",2012,2012
"104",104,"ABRA000654","seven seas restaurant","5915 GEORGIA AVE NW, Washington DC",-77.02766,38.961231,"NW","Brightwood",2013,2012
"105",105,"ABRA000654","seven seas restaurant","5915 GEORGIA AVE NW, Washington DC",-77.02766,38.961231,"NW","Brightwood",2014,2012
"106",106,"ABRA000654","seven seas restaurant","5915 GEORGIA AVE NW, Washington DC",-77.02766,38.961231,"NW","Brightwood",2015,2012
"107",107,"ABRA000654","seven seas restaurant","5915 GEORGIA AVE NW, Washington DC",-77.02766,38.961231,"NW","Brightwood",2016,2012
"108",108,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2008,2008
"109",109,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2009,2008
"110",110,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2010,2008
"111",111,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2011,2008
"112",112,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2012,2008
"113",113,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2013,2008
"114",114,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2014,2008
"115",115,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2015,2008
"116",116,"ABRA000704","royal palace","1805 CONNECTICUT AVE NW, Washington DC",-77.0458135,38.9144094,"NW","Dupont Circle",2016,2008
"117",117,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2008,2008
"118",118,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2009,2008
"119",119,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2010,2008
"120",120,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2011,2008
"121",121,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2012,2008
"122",122,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2013,2008
"123",123,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2014,2008
"124",124,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2015,2008
"125",125,"ABRA000705","post pub","1422 L ST NW, Washington DC",-77.034024,38.903532,"NW","Downtown",2016,2008
"126",126,"ABRA000736","market inn restaurant","200 E ST SW, Washington DC",-77.013749,38.8829939,"SW","Southwest Federal Center",2008,2008
"127",127,"ABRA000736","market inn restaurant","200 E ST SW, Washington DC",-77.013749,38.8829939,"SW","Southwest Federal Center",2009,2008
"128",128,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2008,2008
"129",129,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2009,2008
"130",130,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2010,2008
"131",131,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2011,2008
"132",132,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2012,2008
"133",133,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2013,2008
"134",134,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2014,2008
"135",135,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2015,2008
"136",136,"ABRA000753","mama ayesha's calvert restaurant","1967 CALVERT ST NW, Washington DC",-77.0467651,38.9234738,"NW","Kalorama Triangle",2016,2008
"137",137,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2008,2008
"138",138,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2009,2008
"139",139,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2010,2008
"140",140,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2011,2008
"141",141,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2012,2008
"142",142,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2013,2008
"143",143,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2014,2008
"144",144,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2015,2008
"145",145,"ABRA000755","the bottom line","1716 I ST NW, Washington DC",-77.0402625,38.9010546,"NW","Downtown",2016,2008
"146",146,"ABRA000769","anna maria's restaurant","1737 CONNECTICUT AVE NW, Washington DC",-77.0453095,38.9136665,"NW","Dupont Circle",2008,2008
"147",147,"ABRA000769","anna maria's restaurant","1737 CONNECTICUT AVE NW, Washington DC",-77.0453095,38.9136665,"NW","Dupont Circle",2009,2008
"148",148,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2008,2008
"149",149,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2009,2008
"150",150,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2010,2008
"151",151,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2011,2008
"152",152,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2012,2008
"153",153,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2013,2008
"154",154,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2014,2008
"155",155,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2015,2008
"156",156,"ABRA000771","macombo lounge","5335 GEORGIA AVE NW, Washington DC",-77.0276932,38.9549536,"NW","Petworth",2016,2008
"157",157,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2008,2008
"158",158,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2009,2008
"159",159,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2010,2008
"160",160,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2011,2008
"161",161,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2012,2008
"162",162,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2013,2008
"163",163,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2014,2008
"164",164,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2015,2008
"165",165,"ABRA000785","dan's cafe","2315 18TH ST NW, Washington DC",-77.0415354,38.9201015,"NW","Reed-Cooke",2016,2008
"166",166,"ABRA000804","jackie lee lounge","116 KENNEDY ST NW, Washington DC",-77.0125104,38.9563816,"NW","Manor Park",2008,2008
"167",167,"ABRA000804","jackie lee lounge","116 KENNEDY ST NW, Washington DC",-77.0125104,38.9563816,"NW","Manor Park",2009,2008
"168",168,"ABRA000804","jackie lee lounge","116 KENNEDY ST NW, Washington DC",-77.0125104,38.9563816,"NW","Manor Park",2010,2008
"169",169,"ABRA000804","jackie lee lounge","116 KENNEDY ST NW, Washington DC",-77.0125104,38.9563816,"NW","Manor Park",2011,2008
"170",170,"ABRA000804","jackie lee lounge","116 KENNEDY ST NW, Washington DC",-77.0125104,38.9563816,"NW","Manor Park",2012,2008
"171",171,"ABRA000804","jackie lee lounge","116 KENNEDY ST NW, Washington DC",-77.0125104,38.9563816,"NW","Manor Park",2013,2008
"172",172,"ABRA000826","armands chicago pizzeria","4231 WISCONSIN AVE NW, Washington DC",-77.0772812,38.9441733,"NW","North Cleveland Park",2008,2008
"173",173,"ABRA000826","armands chicago pizzeria","4231 WISCONSIN AVE NW, Washington DC",-77.0772812,38.9441733,"NW","North Cleveland Park",2009,2008
"174",174,"ABRA000826","armands chicago pizzeria","4231 WISCONSIN AVE NW, Washington DC",-77.0772812,38.9441733,"NW","North Cleveland Park",2010,2008
"175",175,"ABRA000826","armands chicago pizzeria","4231 WISCONSIN AVE NW, Washington DC",-77.0772812,38.9441733,"NW","North Cleveland Park",2011,2008
"176",176,"ABRA000826","armands chicago pizzeria","4231 WISCONSIN AVE NW, Washington DC",-77.0772812,38.9441733,"NW","North Cleveland Park",2012,2008
"177",177,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2008,2008
"178",178,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2009,2008
"179",179,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2010,2008
"180",180,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2011,2008
"181",181,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2012,2008
"182",182,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2013,2008
"183",183,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2014,2008
"184",184,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2015,2008
"185",185,"ABRA000850","la chaumiere","2813 M ST NW, Washington DC",-77.0574684,38.9055275,"NW","East Village Georgetown",2016,2008
"186",186,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2008,2008
"187",187,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2009,2008
"188",188,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2010,2008
"189",189,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2011,2008
"190",190,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2012,2008
"191",191,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2013,2008
"192",192,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2014,2008
"193",193,"ABRA000864","mr. smith's","3104 M ST NW, Washington DC",-77.0613965,38.9049925,"NW","Waterfront Georgetown",2015,2008
"194",194,"ABRA000869","charlies","7307 GEORGIA AVE NW, Washington DC",-77.0262011,38.978606,"NW","Takoma",2008,2008
"195",195,"ABRA000869","charlies","7307 GEORGIA AVE NW, Washington DC",-77.0262011,38.978606,"NW","Takoma",2009,2008
