,street,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,SMD,CLASS,DESCRIPTION,YelpCorrect,Selection.DATE,Month.Sort,FY.Sort,Applicant,Owner.Name
42,1073 WISCONSIN AVE NW,"ABRA‐
060470",Active,"Chopsticks, Inc.",CHOPSTICKS/HASHI SUSHI,"1073 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,,DEC 2001,200112,FY2001,,MR. LEE
45,1078 WISCONSIN AVE NW,"ABRA‐
084926",Active,"Paul DC‐VA‐MD Bakeries, 
LLC",Paul Bakery,"1078 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,,JUN 2015,201506,FY2015,,1078 WISCONSIN LLC
48,1090 I ST NW,"ABRA‐
098740",Active,"MOMOCCDC, LLC","Momofuku/MilkBar City 
Center DC","1090 I ST, NW, WASHINGTON, 
DC 20001","SMD 
2C01",C,Restaurant,,OCT 2015,201510,FY2015,,CCDC RETAIL LLC (IMPS ONLY)
53,1100 13TH ST NW,"ABRA‐
086770",Active,Maddy's Tap Room LLC,Maddy's Tap Room,"1100 13TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F05",C,Restaurant,,SEP 2012,201209,FY2012,MADDY'S  TAPROOM LLC,1100 13TH STREET  LLC
55,1100 NEW YORK AVE NW,"ABRA‐
076380",Active,"L'Aziatique, Inc.",Aoi Japnese Restaurant,"1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01",C,Restaurant,,JUL 2002,200207,FY2002,,GILBERT RANDOLPH
63,1100 NEW YORK AVE NW,"ABRA‐
060525",Active,"Aoi, Inc.",Noodles on 11,"1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01",C,Restaurant,,AUG 2009,200908,FY2009,"BIBIANA, LLC.  ",JOHN HANCOCK LIFE INSURANCE CO.
67,1100 NEW YORK AVE NW,"ABRA‐
016838",Active,"Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01",C,Tavern,,JUL 2002,200207,FY2002,,GILBERT RANDOLPH
73,1100 NEW YORK AVE NW,"ABRA‐
021540",Active,"Haad Thai Restaurant, 
Inc.",Haad Thai Restaurant,"1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01",C,Restaurant,,JUL 2002,200207,FY2002,,GILBERT RANDOLPH
81,1100 NEW YORK AVE NW,"ABRA‐
082329",Active,Bibiana LLC,BiBiana,"1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01",C,Restaurant,,AUG 2009,200908,FY2009,"BIBIANA, LLC.  ",JOHN HANCOCK LIFE INSURANCE CO.
88,1101 17TH ST NW,"ABRA‐
082039",Active,Barcode Corporation,Barcode,"1101 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Tavern,,OCT 2010,201010,FY2010,BARCODE CORPORATION,1101- 17TH STREET ASSOCIATES LIMITED PARTNERSHIP
89,1101 4TH ST SW,"ABRA‐
094766",Active,"Rudrakalash, LLC",Masala Art,"1101 4TH ST, SW, UNIT# 120, 
WASHINGTON, DC 20024","SMD 
6D01",C,Restaurant,,JUL 2014,201407,FY2014,,USGBF WATERFRONT STATION LLC
94,1101 4TH ST SW,"ABRA‐
086192",Active,"Hubalou, LLC",Station 4,"1101 4TH ST, SW, WASHINGTON,
DC 20024","SMD 
6D01",C,Restaurant,,JUN 2011,201106,FY2011,"HUBALOU,  LLC","USGBF WATERFRONT STATION, LLC"
99,1101 PENNSYLVANIA AVE NW,"ABRA‐
074173",Active,"Fogo De Chao 
Churrascaria (Washington 
D.C.),LLC",Fogo De Chao Churrascaria,"1101 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01",C,Restaurant,,NOV 2005,200511,FY2005,,JONES LANG LASALLE AMERICA''S
100,1110 H ST NE,"ABRA‐
096474",Active,Lattice Partners LLC,Copycat Co.,"1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Tavern,,NOV 2014,201411,FY2014,YIN  GONG,EVANS WILLOUGHBY
108,1110 VERMONT AVE NW,"ABRA‐
086125",Active,"Apple Hospitality, LLC",Lincoln,"1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05",C,Restaurant,,MAR 2011,201103,FY2011,,1110 VERMONT LP
120,1118 H ST NE,"ABRA‐
089158",Active,"Ima Pizza H Street NE, LLC",H & PIZZA,"1118 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Restaurant,,JUL 2012,201207,FY2012,"IMA PIZZA H STREET NE, LLC.",ZHOU A WU
127,1119 V ST NW,"ABRA‐
090369",Active,Taco El Chilango (DC) LLC,Taco El Chilango,"1119 V ST, NW, WASHINGTON, 
DC 20009","SMD 
1B02",C,Restaurant,,APR 2012,201204,FY2012,,YESHIARGE TESFAYE WONDMAGNHU
134,1120 19TH ST NW,"ABRA‐
024470",Active,Magic Meals Inc.,Nooshi,"1120 19TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Restaurant,,APR 2005,200504,FY2005,,POPULATION SERVICES
137,1123 H ST NE,"ABRA‐
096779",Active,"Naomi's Ladder, LLC",Touche,"1123 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A02",C,Tavern,,SEP 2014,201409,FY2014,,SECOND FSK ASSOCIATES LLC
141,1128 H ST NE,"ABRA‐
088779",Active,"SJ Enterprises, LLC",Cusbah,"1128 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Restaurant,,JUN 2012,201206,FY2012,,JAMES WALLACE
163,1140 19TH ST NW,"ABRA‐
094847",Active,MANI LLC,grk Fresh Greek,"1140 19TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Restaurant,,JUL 2014,201407,FY2014,,AREP 1140 19TH STREET LLC
184,1200 19TH ST NW,"ABRA‐
074176",Active,Mai Thai LLC,Mai Thai,"1200 19TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Restaurant,,MAY 2006,200605,FY2006,,HINES
189,1200 19TH ST NW,"ABRA‐
089980",Active,Lion Hospitality,Teddy,"1200 19TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Restaurant,,MAY 2013,201305,FY2013,,HINES 1200 NINETEENTH STREET LLC
192,1200 H ST NE,"ABRA‐
087558",Active,Raso Corporation,Nomad Hookah Bar,"1200 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Tavern,,JUN 2014,201406,FY2014,,1200 H STREET NE PARTNERSHIP
203,1201 PENNSYLVANIA AVE NW,"ABRA‐
089428",Active,"Del Frisco's Grille of 
Washington DC LLC",Del Frisco's Grille,"1201 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01",C,Restaurant,,JUN 2012,201206,FY2012,"DEL FRISCO'S GRILLE OF WASHINGTON DC, LLC",TEACHERS INSURANCE & ANNUNITY ASSOCIATION OF AMERICA
211,1201 PENNSYLVANIA AVE NW,"ABRA‐
089845",Active,"EC Restaurant (DC Penn 
Ave ) Corp.","Elephant & Castle Pub 
Restaurant","1201 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01",C,Restaurant,,FEB 2007,200702,FY2007,,"SODEXHO MANAGEMENT,INC."
215,1207 19TH ST NW,"ABRA‐
087685",Active,Good Life 1207 LLC.,Irish Whiskey,"1207 19TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Tavern,,JUL 2011,201107,FY2011,GOOD LIFE 1207 LLC,GROSVENOR URBAN RETAIL LP
216,1208 H ST NE,"ABRA‐
088675",Active,"R ‐ S, INC",Kitty's Saloon,"1208 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Restaurant,,NOV 2012,201211,FY2012,,UOF-H STREET LLC
218,1208 U ST NW,"ABRA‐
100340",Active,Belay Abere,Amsterdam Lounge,"1208 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Tavern,,AUG 2015,201508,FY2015,,1208 -1210 U STREET LLC
223,1211 POTOMAC ST NW,"ABRA‐
095958",Active,Lukes Lobster VIII LLC,Luke's Lobster,"1211 POTOMAC ST, NW, 
WASHINGTON, DC 20007","SMD 
2E05",C,Restaurant,2012,SEP 2009,200909,FY2009,"PHILLY PIZZA & GRILL, INC.",JUANITA GRAY
226,1211 U ST NW,"ABRA‐
077567",Active,"Knz, LLC",Next Door,"1211 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Tavern,,DEC 2008,200812,FY2008,"KNZ, L L C.","KNZ, L L C."
231,1212 U ST NW,"ABRA‐
093028",Active,"Italian Food Concepts, LLC","Alphonse Italian Market & 
Osteria","1212 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Restaurant,2014,NOV 2012,201211,FY2012,"ITALIAN FOOD CONCEPT, LLC.",1212 U STREET LTD PARTNERSHIP
233,1214 U ST NW,"ABRA‐
099889",Active,"Prospect DC, LLC",Prospect DC,"1214 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Restaurant,2015,MAY 2009,200905,FY2009,LSS  LLC,ULAH BISTRO
235,1215 CONNECTICUT AVE NW,"ABRA‐
077883",Active,"1215 CT, LLC",Rosebar,"1215 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Tavern,,JUL 2008,200807,FY2008,,RICHARD EIDMAN
244,1215 CONNECTICUT AVE NW,"ABRA‐
096845",Active,"Ima Pizza Store 13, LLC",& Pizza,"1215 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Restaurant,,OCT 2015,201510,FY2015,,3101 RHODE ISLAND AVE LLC
249,1216 18TH ST NW,"ABRA‐
086803",Active,"PGS, LLC",Sauf Haus,"1216 18TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Tavern,2014,MAY 2011,201105,FY2011,SHAKE SHACK 18TH STREET N W .WASH D.C. LLC,JEMAL'S VENT GP
252,1216 18TH ST NW,"ABRA‐
087101",Active,"H‐4, LLC",Heist,"1216 18TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Nightclub,2012,MAY 2011,201105,FY2011,"SHAKE SHACK 18TH STREET, NW WASHINGTON D.C. LLC",JEMAL'S VENT GP
254,1216 18TH ST NW,"ABRA‐
086070",Active,"Shake Shack 18th Street 
NW Washington DC, LLC",Shake Shack,"1216 18TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",D,Restaurant,,MAY 2011,201105,FY2011,"SHAKE SHACK 18TH STREET, NW WASHINGTON D.C. LLC",JEMAL'S VENT GP
259,1219 CONNECTICUT AVE NW,"ABRA‐
077157",Active,Jidapa Corporation,Pasara Thai DC,"1219 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Restaurant,,JUN 2008,200806,FY2008,,JIDAPA
261,1223 CONNECTICUT AVE NW,"ABRA‐
083919",Active,"Inner Circle 1223, LLC","Dirty Martini Inn Bar/Dirty 
Bar","1223 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B05",C,Nightclub,,NOV 2010,201011,FY2010,INNER CIRCLE 1223 LLC,GEORGE GALICH PROPERTIES LLC
263,1227 11TH ST NW,"ABRA‐
099065",Active,"EL SOL LLC &  TERRES 
CATERAS","EL SOL RESTAURANT & 
TEQUILERIA","1227 11TH ST, NW, 
WASHINGTON, DC 20001","SMD 
2F07",C,Restaurant,,APR 2015,201504,FY2015,,ANH T. DOAN
270,1234 H ST NE,"ABRA‐
073166",Active,"The Pug, LLC",Toki Underground,"1234 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Tavern,,FEB 2011,201102,FY2011,ANTHONY  TOMELON,1234 H STREET LLC
271,1234 H ST NE,"ABRA‐
073166",Active,"The Pug, LLC",The Pug,"1234 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01",C,Tavern,,JAN 2007,200701,FY2007,,JOE ENGLERT
275,1245 H ST NE,"ABRA‐
084598",Active,Smith Commons DC LLC,Smith Commons,"1245 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A02",C,Restaurant,,DEC 2010,201012,FY2010,"SMITH COMMONS D C, LLC.",1245 H STREET LLC
276,1250 CONNECTICUT AVE NW,"ABRA‐
092844",Active,"STK, LLC",STK,"1250 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B07",C,Restaurant,,APR 2014,201404,FY2014,,TRIZECHAHN LLC - 1250C/2401P
282,1264 WISCONSIN AVE NW,"ABRA‐
060407",Active,"Billy Martin's Tavern, LLC",Billy Martins Tavern,"1264 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E03",C,Restaurant,,AUG 2002,200208,FY2002,,SIMPSON
291,1299 PENNSYLVANIA AVE NW,"ABRA‐
093794",Active,Boss Shepherd's LLC,Boss Shepherd's,"1299 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01",C,Restaurant,2014,SEP 2013,201309,FY2013,BOSS SHEPHERD'S  LLC,WARNER INVESTMENTS LP
293,1300 I ST NW,"ABRA‐
091165",Active,"TORO TORO DC, LLC",Toro Toro,"1300 I ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01",C,Restaurant,2014,APR 2004,200404,FY2004,,ECO
305,1301 U ST NW,"ABRA‐
071866",Active,"Red Bean System, Inc.",Sala Thai,"1301 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Restaurant,,APR 2005,200504,FY2005,,"MOCHA HUT, LLC"
317,1301 U ST NW,"ABRA‐
071881",Active,"Alero of U Street, Inc.","Alero Restaurant and 
Lounge","1301 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Restaurant,,APR 2005,200504,FY2005,,"MOCHA HUT, LLC"
321,1309 5TH ST NE,"ABRA‐
091197",Active,"TAKOREAN AT UNION 
MARKET   LLC",TAKOREAN,"1309 5TH ST, NE, WASHINGTON, 
DC 20002","SMD 
5D01",C,Tavern,,NOV 2013,201311,FY2013,,"EAJ 1309 5TH STREET, LLC"
327,1309 5TH ST NE,"ABRA‐
091030",Active,"NEIGHBORHOOD 
RESTAURANT GROUP 
XVIII,LLC",Red Apron at Union Market,"1309 5TH ST, NE, WASHINGTON, 
DC","SMD 
5D01",C,Restaurant,,NOV 2013,201311,FY2013,,"EAJ 1309 5TH STREET, LLC"
333,1309 5TH ST NE,"ABRA‐
092990",Active,DARIEN   DC   LLC,Bidwell‐PORTABLE BAR,"1309 5TH ST, NE, WASHINGTON, 
DC 20002","SMD 
5D01",C,Tavern,,NOV 2013,201311,FY2013,,"EAJ 1309 5TH STREET, LLC"
339,1309 5TH ST NE,"ABRA‐
093203",Active,The District Fishwife,The District Fishwife,"1309 5TH ST, NE, WASHINGTON, 
DC 20002","SMD 
5D01",D,Tavern,,NOV 2013,201311,FY2013,,"EAJ 1309 5TH STREET, LLC"
347,1309 5TH ST NE,"ABRA‐
090397",Active,Buffalo & Bergen LLC,Buffalo & Bergen,"1309 5TH ST, NE, WASHINGTON, 
DC 20002","SMD 
5D01",C,Tavern,,NOV 2014,201411,FY2014,,"EAJ 1309 5TH STREET, LLC"
352,1309 5TH ST NE,"ABRA‐
089982",Active,"Rappahannock Oyster 
Bar, LLC",Rappahannock Oyster Bar,"1309 5TH ST, NE, WASHINGTON, 
DC 20002","SMD 
5D01",C,Tavern,,SEP 2012,201209,FY2012,,"EAJ 1309 5TH STREET, LLC"
355,1309 F ST NW,"ABRA‐
090757",Active,"District Taco, LLC",District Taco,"1309 F ST, NW, WASHINGTON, 
DC 20004","SMD 
2C01",D,Restaurant,,MAY 2012,201205,FY2012,"DISTRICT  TACO, LLC",District Taco Marc Wallace
357,1310 G ST NW,"ABRA‐
079786",Active,"1306 G street Investors, 
LLC",Laughing Man,"1310 G ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01",C,Tavern,,AUG 2008,200808,FY2008,1306 G ST INVESTORS LLC,"1306 G ST. INVESTORS, LLC."
360,1314 9TH ST NW,"ABRA‐
089950",Active,Spork LLC,A n D,"1314 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
2F06",C,Tavern,,OCT 2012,201210,FY2012,SPORK LLC,1314 1/2 INC
362,1317 CONNECTICUT AVE NW,"ABRA‐
088831",Active,"Roadside Deli Projects, 
LLC",DGS Delicatessen,"1317 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B07",C,Restaurant,,NOV 2012,201211,FY2012,"ROADSIDE DELI  PROJECTS, LLC",TMT DEMONET INC
370,1318 9TH ST NW,"ABRA‐
086037",Active,"Mimi & D, LLC","Vita Restaurant and 
Lounge/Penthouse Nine","1318 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
2F06",C,Tavern,,MAY 2013,201305,FY2013,,VELOUR LLC
376,1320 19TH ST NW,"ABRA‐
097698",Active,"Duru, Inc.",Ankara,"1320 19TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B06",C,Restaurant,2015,SEP 2012,201209,FY2012,,THE SUNDERLAND BUILDING LP
381,1324 H ST NE,"ABRA‐
088102",Active,"Chicken Tortilla, Inc.",Ocopa,"1324 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Restaurant,,JUL 2014,201407,FY2014,,EAST CHOP LLC
385,1326 14TH ST NW,"ABRA‐
060559",Active,"Thai Tanic, Inc.",Baan Thai,"1326 14TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F03",C,Restaurant,,NOV 2010,201011,FY2010,,EDLAVITCH IRWIN
391,1326 PARK RD NW,"ABRA‐
089715",Active,"Rinconcito Tex‐Rex 
Corporation","Rinconcito Tex‐Mex 
Restaurant","1326 PARK RD, NW, 
WASHINGTON, DC 20010","SMD 
1A06",C,Restaurant,,FEB 2003,200302,FY2003,,MAURICIOI ARIAS
393,1327 CONNECTICUT AVE NW,"ABRA‐
099536",Active,"1327 Connecticut, LLC",The Manor,"1327 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B07",C,Restaurant,,SEP 2014,201409,FY2014,,GEETA A MALLICK
397,1331 F ST NW,"ABRA‐
071676",Active,"RPM Restaurant, LLC",Shelly's Back Room,"1331 F ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01",C,Tavern,,NOV 2001,200111,FY2001,,C.B. RICHARD ELLIS
399,1331 PENNSYLVANIA AVE NW,"ABRA‐
007255",Active,"F D K Restaurant Of 
National Place, Inc.",A Slice Of Italy Pizzeria,"1331 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01",D,Restaurant,,MAR 2008,200803,FY2008,,EZ DINNNING
408,1334 9TH ST NW,"ABRA‐
090311",Active,"Abal, LLC","CherCher Ethiopian 
Restaurant & Mart","1334 9TH ST, NW, 
WASHINGTON, DC 20001","SMD 
2F06",C,Restaurant,,MAR 2012,201203,FY2012,"ABAL, LLC .",MOGES GEBREMARIAM
411,1334 U ST NW,"ABRA‐
086233",Active,SBI LLC,Touchdown,"1334 U ST, NW, UNIT B, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,NOV 2011,201111,FY2011,"S B I, LLC. ",1334 U STREET LLC
415,1334 U ST NW,"ABRA‐
086231",Active,SBII LLC,The Codmother,"1334 U ST, NW, UNIT A, 
WASHINGTON, DC 20009","SMD 
1B12",C,Tavern,,NOV 2011,201111,FY2011,"S B I, LLC. ",1334 U STREET LLC
420,1335 H ST NE,"ABRA‐
076649",Active,"Par Bar, LLC",H Street Country Club,"1335 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Tavern,,MAY 2009,200905,FY2009,"PAR BAR, LLC",WELCH FAMILY PARTNERSHIP TRUST
426,1337 CONNECTICUT AVE NW,"ABRA‐
090830",Active,TOP SHELF GROUP LLC,The Gryphon,"1337 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B07",C,Tavern,,FEB 2013,201302,FY2013,,ENDEKA ENTERPRISES LLC
431,1337 CONNECTICUT AVE NW,"ABRA‐
091276",Active,"Kabin Group, LLC",Kabin,"1337 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036","SMD 
2B07",C,Tavern,,FEB 2013,201302,FY2013,,ENDEKA ENTERPRISES LLC
432,1338 WISCONSIN AVE NW,"ABRA‐
060131",Active,"Restaurant Enterprises, 
Inc.",Smith Point,"1338 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007","SMD 
2E03",C,Tavern,2006,NOV 2010,201011,FY2010,"RESTAURANT ENTERPRISES, INC.",WISCONSIN AVE AND O ST LTD PARTNERSHIP
436,1340 U ST NW,"ABRA‐
075284",Active,"Axis Bar & Grill, LLC",Sudhouse,"1340 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Restaurant,,JUN 2015,201506,FY2015,,"FJC, LLC"
444,1344 U ST NW,"ABRA‐
060380",Active,Twins Inc.,Twin Jazz,"1344 U ST, NW, WASHINGTON, 
DC 20009","SMD 
1B12",C,Tavern,,JUN 2003,200306,FY2003,,U1344 LIMITED PARTNSHP
449,1350 I ST NW,"ABRA‐
098879",Active,"Pennsylvania 6 DC, LLC",Pennsylvania 6 DC,"1350 I ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01",C,Restaurant,2015,JUN 2009,200906,FY2009,PEZZO  FORTE INC.,LORD BALTIMORE GROUP LTD
451,1351 H ST NE,"ABRA‐
090445",Active,Maketto LLC,Maketto,"1351 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Restaurant,,MAR 2015,201503,FY2015,,FUNDRISE 1351 H STREET LLC
454,1353 H ST NE,"ABRA‐
072777",Active,"R N R, LLC",Rock N Roll Hotel,"1353 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Tavern,,APR 2007,200704,FY2007,,PROFESSIONAL SERVICES
458,1358 H ST NE,"ABRA‐
088603",Active,Impala LLC,Impala Cantina Y Taqueria,"1358 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Tavern,,MAR 2014,201403,FY2014,,LIBERTY DEVELOPMENT GROUP INC
461,1360 H ST NE,"ABRA‐
099569",Active,"IMM  ON ""H"",  LLC",Imm  On  H,"1360 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Restaurant,,MAR 2015,201503,FY2015,,JEMALS 1360 H LLC
464,1370 H ST NE,"ABRA‐
090527",Active,Avery's LLC,Avery's Bar and Lounge,"1370 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Tavern,,JUL 2013,201307,FY2013,,COLIN SCARLETT
470,1400 I ST NW,"ABRA‐
084711",Active,"Jam Ventures, LLC",Opera Ultra Lounge,"1400 I ST, NW, WASHINGTON, 
DC 20005","SMD 
2C01",C,Nightclub,2011,JAN 2006,200601,FY2006,,CAMBRIDGE
478,1400 IRVING ST NW,"ABRA‐
078677",Active,"Wilkinson‐Mehr Group, 
LLC","Pete's New Haven Style 
Pizza","1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03",D,Restaurant,,APR 2008,200804,FY2008,,"1400 IRVING, LLC."
485,1400 IRVING ST NW,"ABRA‐
086419",Active,"Irving Restaurant Group, 
LLC",Lou's Bar & Grill,"1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03",C,Tavern,,FEB 2011,201102,FY2011,"IRVING RESTAURANT GROUP, LLC.",COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC
491,1400 IRVING ST NW,"ABRA‐
086384",Active,"Highland Restaurant 
Group LLC",Acre 121,"1400 IRVING ST, NW, 
WASHINGTON, DC 20010","SMD 
1A03",C,Tavern,,MAY 2011,201105,FY2011,"HIGHLAND RESTAURANT GROUP,LLC",COLUMBIA HEIGHTS VENTURES PARCEL 26 LLC
502,1406 FLORIDA AVE NW,"ABRA‐
085707",Active,"Pica Taco, Inc.",Pica Taco,"1406 FLORIDA AVE, NW, 
WASHINGTON, DC 20009","SMD 
1B04",D,Restaurant,,APR 2010,201004,FY2010,,JESSICA L RACINE-WHITE TRUSTEE
506,1413 K ST NW,"ABRA‐
075156",Active,"Inner Circle 1413, LLC",Tattoo,"1413 K ST, NW, WASHINGTON, 
DC 20005","SMD 
2F05",C,Nightclub,,SEP 2007,200709,FY2007,,"1413 INNER CIRCLE, LLC."
509,1421 H ST NE,"ABRA‐
094881",Active,"Two Foxes, LLC",The Pursuit,"1421 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A06",C,Restaurant,,MAY 2014,201405,FY2014,,"H STREET PROPERTIES, LLC"
