,LICENSE..,STATUS,APPLICANT,TRADE.NAME,ADDRESS,YearOpen,SMD,CLASS,DESCRIPTION,street
293,"ABRA‐
060748",Active,"Black Salt Fish, LLC",Black Salt Fish & Market,"4883 MACARTHUR BLVD, NW, 
WASHINGTON, DC 20007",2006,"SMD 
3D05",C,Restaurant,4883 MACARTHUR BLVD NW
1175,"ABRA‐
091434",Active,BLACK WHISKEY LLC,Black Whiskey,"1410 14TH ST, NW, 
WASHINGTON, DC 20005",2013,"SMD 
2F02",C,Tavern,1410 14TH ST NW
1064,"ABRA‐
081161",Active,"1620 DC, LLC",Blackfinn,"1620 I ST, NW, WASHINGTON, 
DC 20006",2009,"SMD 
2B05",C,Tavern,1620 I ST NW
371,"ABRA‐
075274",Active,"BLT STEAK DC, LLC",BLT Steak,"1625 I ST, NW, WASHINGTON, 
DC 20006",2006,"SMD 
2B05",C,Restaurant,1625 I ST NW
415,"ABRA‐
076966",Active,"Blues Alley Jazz, LLC",Blues Alley Jazz,"1069 RR WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E05",C,Restaurant,1069 RR WISCONSIN AVE NW
349,"ABRA‐
073165",Active,Strathroy Park Corp.,Bobby Van's Grill,"1201 NEW YORK AVE, NW, 
WASHINGTON, DC 20005",2006,"SMD 
2C01",C,Restaurant,1201 NEW YORK AVE NW
228,"ABRA‐
060069",Active,"RJJJ Restaurant, 
Corporation",Bobby Van's Steakhouse,"805 15TH ST, NW, 
WASHINGTON, DC 20005",2006,"SMD 
2C01",C,Restaurant,805 15TH ST NW
438,"ABRA‐
078301",Active,"Malabata, LLC",Bodega,"3116 M ST, NW, WASHINGTON, 
DC 20007",2008,"SMD 
2E05",C,Restaurant,3116 M ST NW
752,"ABRA‐
092541",Active,"BRRCO Massachusetts 
Ave, LLC",Bolt Burger,"1010 MASSACHUSETTS AVE, 
NW, WASHINGTON, DC",2013,"SMD 
2C01",C,Restaurant,1010 MASSACHUSETTS AVE NW
892,"ABRA‐
097672",Active,"BCDC, LLC",Bonchon,"1015 HALF ST, SE, 
WASHINGTON, DC 20003",2015,"SMD 
6D02",C,Restaurant,1015 HALF ST SE
1297,"ABRA‐
003496",Active,"S & V Enterprises 
Georgetown, Inc.",Booeymonger Restaurant,"3265 PROSPECT ST, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E03",D,Restaurant,3265 PROSPECT ST NW
1108,"ABRA‐
086320",Active,"Roundabout, LLC",Boundary Road Restaurant,"414 H ST, NE, WASHINGTON, DC 
20002",2012,"SMD 
6C05",C,Tavern,414 H ST NE
1088,"ABRA‐
083980",Active,"Bloomingdale Hospitality 
LLC","Boundary stone Public 
House","116 RHODE ISLAND AVE, NW, 
WASHINGTON, DC 20001",2011,"SMD 
5E07",C,Tavern,116 RHODE ISLAND AVE NW
279,"ABRA‐
060605",Active,"2321 18th Street, LLC",Bourbon,"2348 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",c,"SMD 
3B02",C,Restaurant,2348 WISCONSIN AVE NW
401,"ABRA‐
076383",Active,"1101 K Street Restaurant, 
LLC",Brasserie Beck,"1101 K ST, NW, WASHINGTON, 
DC 20005",2007,"SMD 
2F08",C,Restaurant,1101 K ST NW
38,"ABRA‐
071564",Active,Down Under Inc,Bravo Bravo,"1001 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2006,"SMD 
2B05",C,Nightclub,1001 CONNECTICUT AVE NW
1186,"ABRA‐
092059",Active,"Bravo Lounge, LLC",Bravo Lounge,"2917 GEORGIA AVE, NW, 
WASHINGTON, DC 20001",2013,"SMD 
1B10",C,Tavern,2917 GEORGIA AVE NW
102,"ABRA‐
007792",Active,"Bread & Chocolate, Inc.",Bread & Chocolate,"5542 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20009",2007,"SMD 
3G06",C,Restaurant,5542 CONNECTICUT AVE NW
1369,"ABRA‐
094780",Active,"Bread and Chocolate, Inc.",Bread and Chocolate,"2301 M ST, NW, WASHINGTON, 
DC 20037",2006,"SMD 
2A02",D,Restaurant,2301 M ST NW
702,"ABRA‐
090853",Active,"Bread & Salt Restaurant 
LLC",Bread and Salt,"4619 41ST ST, NW, 
WASHINGTON, DC 20016",c,"SMD 
3E01",C,Restaurant,4619 41ST ST NW
842,"ABRA‐
096024",Active,"Remarkable Breads, LLC",Bread Furst,"4434 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20008",2014,"SMD 
3F06",C,Restaurant,4434 CONNECTICUT AVE NW
1206,"ABRA‐
093948",Active,"Pinnacle Consumption, 
LLC",Brookland Pint,"716 MONROE ST, NE, 
WASHINGTON, DC 20017",2014,"SMD 
5E01",C,Tavern,716 MONROE ST NE
1184,"ABRA‐
092010",Active,"Brookland's Finest, LLC","Brookland's Finest Bar & 
Kitchen","3126‐3128 12TH ST, NE, 
WASHINGTON, DC 20017",2014,"SMD 
5B04",C,Tavern,3126‐3128 12TH ST NE
132,"ABRA‐
012993",Active,"Rosewood Regency Co., 
Inc.",Bua Restaurant & Bar,"1635 P ST, NW, WASHINGTON, 
DC 20036",2006,"SMD 
2B05",C,Restaurant,1635 P ST NW
971,"ABRA‐
020480",Active,"Buffalo Billiards 
Corporation","Buffalo Billiards 
Corporation","1330 19TH ST, NW, 
WASHINGTON, DC 20036",2005,"SMD 
2B06",C,Tavern,1330 19TH ST NW
932,"ABRA‐
099597",Active,Blazin Wings Inc,Buffalo Wild Wings,"1220 HALF ST, SW, 
WASHINGTON, DC 20024",2015,"SMD 
6D06",C,Restaurant,1220 HALF ST SW
987,"ABRA‐
026466",Active,"Marabu, Inc.",Bukom Cafe,"2442 18TH ST, NW, 
WASHINGTON, DC 20009",2006,"SMD 
1C03",C,Tavern,2442 18TH ST NW
537,"ABRA‐
085100",Active,"Bullfeathers, LLC",Bullfeathers,"410 1ST ST, SE, WASHINGTON, 
DC 20003",2006,"SMD 
6B01",C,Restaurant,410 1ST ST SE
323,"ABRA‐
071220",Active,"14th & V, Inc.",Busboys & Poets,"1390 V ST, NW 111, 
WASHINGTON, DC 20009",2006,"SMD 
1B12",C,Restaurant,1390 V ST NW 111
138,"ABRA‐
014225",Active,"LPM, Inc.",Cactus Cantina,"3300 WISCONSIN AVE, NW, 
WASHINGTON, DC 20016",2005,"SMD 
3C07",C,Restaurant,3300 WISCONSIN AVE NW
430,"ABRA‐
077797",Active,"Cafe Bistro MED, LLC",Cafe 8,"424 8TH ST, SE, WASHINGTON, 
DC 20003",2007,"SMD 
6B04",C,Restaurant,424 8TH ST SE
728,"ABRA‐
091400",Active,"Gilstrid's Gastronomy, LLC",Cafe Berlin,"322 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002",2006,"SMD 
6C02",C,Restaurant,322 MASSACHUSETTS AVE NE
313,"ABRA‐
071007",Active,"Millennium Partners 
Group, LLC",Cafe Bonaparte,"1522 WISCONSIN AVE, NW, 
WASHINGTON, DC 20007",2006,"SMD 
2E03",C,Restaurant,1522 WISCONSIN AVE NW
232,"ABRA‐
060138",Active,"Cafe Dupont, LLC",Cafe Citron,"1343 CONNECTICUT AVE, NW, 
WASHINGTON, DC 20036",2005,"SMD 
2B07",C,Restaurant,1343 CONNECTICUT AVE NW
551,"ABRA‐
085876",Active,"Clover Cleveland Park, LLC",Cafe Deluxe,"3226‐3230 WISCONSIN AVE, 
NW, WASHINGTON, DC 20016",2005,"SMD 
3C09",C,Restaurant,3226‐3230 WISCONSIN AVE NW
96,"ABRA‐
003664",Active,"Cafe Mozart, Inc.",Cafe Mozart,"1331 H ST, NW, WASHINGTON, 
DC 20005",2006,"SMD 
2C01",C,Restaurant,1331 H ST NW
194,"ABRA‐
024748",Active,"V A  Assoc. I Limited 
Partnership",Cafe Soleil,"839 17TH ST, NW, 
WASHINGTON, DC 20006",2006,"SMD 
2B05",C,Restaurant,839 17TH ST NW
25,"ABRA‐
001449",Active,"R A H OF WASHINGTON, 
D.C",Camelot,"1823 M ST, NW, WASHINGTON, 
DC 20036",2006,"SMD 
2B06",C,Nightclub,1823 M ST NW
281,"ABRA‐
060628",Active,"Cleveland Q, LLC",Cantina Marina,"600 WATER ST, SW A, 
WASHINGTON, DC 20024",2007,"SMD 
6D04",C,Restaurant,600 WATER ST SW A
41,"ABRA‐
072225",Active,"Jasper Ventures, LLC",Capitale,"1301 K ST, NW, WASHINGTON, 
DC 20005",2012,"SMD 
2F08",C,Nightclub,1301 K ST NW
287,"ABRA‐
060689",Active,"Shallamar Enterprises, 
LLC",Capitol Hill Tandor and Grill,"419 8TH ST, SE, WASHINGTON, 
DC 20003",2007,"SMD 
6B03",C,Restaurant,419 8TH ST SE
731,"ABRA‐
091613",Active,"Capitol Prague, LLC",Capitol Prague,"3277 M ST, NW 00C10, 
WASHINGTON, DC 20007",c,"SMD 
2E05",C,Restaurant,3277 M ST NW 00C10
500,"ABRA‐
083047",Active,"Carmine's DC, LLC",Carmine's,"425 7TH ST, NW, WASHINGTON, 
DC 20004",2010,"SMD 
2C03",C,Restaurant,425 7TH ST NW
715,"ABRA‐
091059",Active,"Big City Foods III, LLC",Carolina Kitchen Bar & Grill,"2300‐2350 WASHINGTON PL, NE,
UNIT# 102 N.R.I., WASHINGTON, 
DC 200018",2014,"SMD 
5C05",C,Restaurant,2300‐2350
638,"ABRA‐
088816",Active,"Relish Food Concepts, LLC",Carving Room,"300 MASSACHUSETTS AVE, NW, 
WASHINGTON, DC 20001",2013,"SMD 
2C02",C,Restaurant,300 MASSACHUSETTS AVE NW
735,"ABRA‐
091894",Active,FT Casaluca DC LLC,Casa Luca,"1099 NEW YORK AVE, NW, 
WASHINGTON, DC 20001",2013,"SMD 
2C01",C,Restaurant,1099 NEW YORK AVE NW
1162,"ABRA‐
090597",Active,TK Restaurant Mgmt. Inc.,Catch 15,"1518 K ST, NW, WASHINGTON, 
DC 20005",2013,"SMD 
2B05",C,Tavern,1518 K ST NW
824,"ABRA‐
095465",Active,"Catrachitos Restaurant, 
Inc.",Catrachitos Restaurant,"4608 14TH ST, NW, 
WASHINGTON, DC 20011",c,"SMD 
4C03",C,Restaurant,4608 14TH ST NW
677,"ABRA‐
090259",Active,"The Caucus Room, LLC",Caucus Room Brasserie,"2350 M ST, NW, WASHINGTON, 
DC 20037",2012,"SMD 
2A02",C,Restaurant,2350 M ST NW
850,"ABRA‐
096402",Active,"Cave Mezze Grilll 
Chinatown, LLC",Cava Mezze Grill,"707 H ST, NW, WASHINGTON, 
DC 20001",2014,"SMD 
2C01",C,Restaurant,707 H ST NW
1063,"ABRA‐
081014",Active,"DTI Capital Hill, LLC",Cava Restaurant,"527‐529 8TH ST, SE, 
WASHINGTON, DC 20003",2009,"SMD 
6B03",C,Tavern,527‐529 8TH ST SE
474,"ABRA‐
081157",Active,"Cedar Restaurant, LLC",Cedar,"822 E ST, NW, WASHINGTON, DC 
20004",2009,"SMD 
2C03",C,Restaurant,822 E ST NW
958,"ABRA‐
013327",Active,Ark DC Kiosk Inc,Center Cafe,"50 MASSACHUSETTS AVE, NE, 
WASHINGTON, DC 20002",,"SMD 
6C04",C,Tavern,50 MASSACHUSETTS AVE NE
905,"ABRA‐
098364",Active,Chef AmyB LLC,Centrolina,"974 PALMER ALLEY NW, 
WASHINGTON, DC 20001",2015,"SMD 
2C01",C,Restaurant,974 PALMER ALLEY NW
984,"ABRA‐
025546",Active,"JHM, LLC",Chads Friendship Heights,"5247 WISCONSIN AVE, NW 
000C1, WASHINGTON, DC 20015",2006,"SMD 
3E04",C,Tavern,5247 WISCONSIN AVE NW 000C1
92,"ABRA‐
001845",Active,"C T Chiang of 
Washington, Inc.",Chalin's Restaurant,"1912 I ST, NW, WASHINGTON, 
DC 20006",2006,"SMD 
2B06",C,Restaurant,1912 I ST NW
947,"ABRA‐
000869",Active,The New 7307 Inc.,Charlies,"7307 GEORGIA AVE, NW, 
WASHINGTON, DC 20012",2007,"SMD 
4B01",C,Tavern,7307 GEORGIA AVE NW
118,"ABRA‐
010574",Active,"Chateau, Inc.",Chateau Inc,"3439 BENNING RD, NE, 
WASHINGTON, DC 20019",c,"SMD 
7D04",C,Restaurant,3439 BENNING RD NE
815,"ABRA‐
095178",Active,"Micherie, LLC",Cheerz,"7303 GEORGIA AVE, NW, 
WASHINGTON, DC 20012",2014,"SMD 
4B01",C,Restaurant,7303 GEORGIA AVE NW
275,"ABRA‐
060577",Active,Chef Geoff's Downtown,Chef Geoff's Downtown,"1301 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004",c,"SMD 
2C01",C,Restaurant,1301 PENNSYLVANIA AVE NW
499,"ABRA‐
083029",Active,"Barracks Row 
Entertainment, LLC",Chesapeake Room,"501 8TH ST, SE, WASHINGTON, 
DC 20003",2010,"SMD 
6B03",C,Restaurant,501 8TH ST SE
1130,"ABRA‐
087703",Active,"3813 GA Avenue, LLC",Chez Billy,"3813 GEORGIA AVE, NW, 
WASHINGTON, DC 20011",2012,"SMD 
4C08",C,Tavern,3813 GEORGIA AVE NW
988,"ABRA‐
026519",Active,"1624 U Street, Inc.",Chi‐Cha Lounge,"1624 U ST, NW, WASHINGTON, 
DC 20009",2006,"SMD 
2B08",C,Tavern,1624 U ST NW
1089,"ABRA‐
083981",Active,"Chinatown Coffee 
Company LLC","Chinatown Coffee 
Company","475 H ST, NW, WASHINGTON, 
DC 20001",2009,"SMD 
2C02",C,Tavern,475 H ST NW
123,"ABRA‐
011479",Active,"Winners Chinatown, Inc.",Chinatown Express,"746 6TH ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,746 6TH ST NW
209,"ABRA‐
025796",Active,"Chinatown Garden, Inc.","Chinatown Garden 
Restaurant","618 H ST, NW, WASHINGTON, 
DC 20001",2006,"SMD 
2C01",C,Restaurant,618 H ST NW
1185,"ABRA‐
092012",Active,"Ching, LLC",Ching,"639 FLORIDA AVE, NW, 
WASHINGTON, DC 20001",c,"SMD 
1B01",C,Tavern,639 FLORIDA AVE NW
