"","street","LICENSE..","STATUS","APPLICANT","TRADE.NAME","ADDRESS","SMD","CLASS","DESCRIPTION","Selection.DATE","Month.Sort","FY.Sort","Applicant","Owner.Name"
"53","1100 13TH ST NW","ABRA‐
086770","Active","Maddy's Tap Room LLC","Maddy's Tap Room","1100 13TH ST, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","SEP 2012",201209,"FY2012","MADDY'S  TAPROOM LLC","1100 13TH STREET  LLC"
"55","1100 NEW YORK AVE NW","ABRA‐
076380","Active","L'Aziatique, Inc.","Aoi Japnese Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","JUL 2002",200207,"FY2002","","GILBERT RANDOLPH"
"56","1100 NEW YORK AVE NW","ABRA‐
076380","Active","L'Aziatique, Inc.","Aoi Japnese Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","MAY 2008",200805,"FY2008","","CAPITOL CITY BREWING COMPANY"
"57","1100 NEW YORK AVE NW","ABRA‐
076380","Active","L'Aziatique, Inc.","Aoi Japnese Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2009",200908,"FY2009","BIBIANA, LLC.  ","JOHN HANCOCK LIFE INSURANCE CO."
"58","1100 NEW YORK AVE NW","ABRA‐
076380","Active","L'Aziatique, Inc.","Aoi Japnese Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","FEB 2008",200802,"FY2008","","L''AZIATIQUE,INC."
"59","1100 NEW YORK AVE NW","ABRA‐
076380","Active","L'Aziatique, Inc.","Aoi Japnese Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2007",200708,"FY2007","","GILBERT RANDOLPH"
"60","1100 NEW YORK AVE NW","ABRA‐
076380","Active","L'Aziatique, Inc.","Aoi Japnese Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","NOV 2008",200811,"FY2008","L'AZIATIQUE, INC.","MANULIFE FINANCIAL"
"61","1100 NEW YORK AVE NW","ABRA‐
060525","Active","Aoi, Inc.","Noodles on 11","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","JUL 2002",200207,"FY2002","","GILBERT RANDOLPH"
"62","1100 NEW YORK AVE NW","ABRA‐
060525","Active","Aoi, Inc.","Noodles on 11","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","MAY 2008",200805,"FY2008","","CAPITOL CITY BREWING COMPANY"
"63","1100 NEW YORK AVE NW","ABRA‐
060525","Active","Aoi, Inc.","Noodles on 11","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2009",200908,"FY2009","BIBIANA, LLC.  ","JOHN HANCOCK LIFE INSURANCE CO."
"64","1100 NEW YORK AVE NW","ABRA‐
060525","Active","Aoi, Inc.","Noodles on 11","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","FEB 2008",200802,"FY2008","","L''AZIATIQUE,INC."
"65","1100 NEW YORK AVE NW","ABRA‐
060525","Active","Aoi, Inc.","Noodles on 11","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2007",200708,"FY2007","","GILBERT RANDOLPH"
"66","1100 NEW YORK AVE NW","ABRA‐
060525","Active","Aoi, Inc.","Noodles on 11","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","NOV 2008",200811,"FY2008","L'AZIATIQUE, INC.","MANULIFE FINANCIAL"
"67","1100 NEW YORK AVE NW","ABRA‐
016838","Active","Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01","C","Tavern","JUL 2002",200207,"FY2002","","GILBERT RANDOLPH"
"68","1100 NEW YORK AVE NW","ABRA‐
016838","Active","Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01","C","Tavern","MAY 2008",200805,"FY2008","","CAPITOL CITY BREWING COMPANY"
"69","1100 NEW YORK AVE NW","ABRA‐
016838","Active","Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01","C","Tavern","AUG 2009",200908,"FY2009","BIBIANA, LLC.  ","JOHN HANCOCK LIFE INSURANCE CO."
"70","1100 NEW YORK AVE NW","ABRA‐
016838","Active","Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01","C","Tavern","FEB 2008",200802,"FY2008","","L''AZIATIQUE,INC."
"71","1100 NEW YORK AVE NW","ABRA‐
016838","Active","Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01","C","Tavern","AUG 2007",200708,"FY2007","","GILBERT RANDOLPH"
"72","1100 NEW YORK AVE NW","ABRA‐
016838","Active","Capitol City Brewing 
Company, LLC","Capital City Brewing 
Company","1100 NEW YORK AVE, NW, UNIT 
A, WASHINGTON, DC 20005","SMD 
2C01","C","Tavern","NOV 2008",200811,"FY2008","L'AZIATIQUE, INC.","MANULIFE FINANCIAL"
"73","1100 NEW YORK AVE NW","ABRA‐
021540","Active","Haad Thai Restaurant, 
Inc.","Haad Thai Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","JUL 2002",200207,"FY2002","","GILBERT RANDOLPH"
"74","1100 NEW YORK AVE NW","ABRA‐
021540","Active","Haad Thai Restaurant, 
Inc.","Haad Thai Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","MAY 2008",200805,"FY2008","","CAPITOL CITY BREWING COMPANY"
"75","1100 NEW YORK AVE NW","ABRA‐
021540","Active","Haad Thai Restaurant, 
Inc.","Haad Thai Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2009",200908,"FY2009","BIBIANA, LLC.  ","JOHN HANCOCK LIFE INSURANCE CO."
"76","1100 NEW YORK AVE NW","ABRA‐
021540","Active","Haad Thai Restaurant, 
Inc.","Haad Thai Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","FEB 2008",200802,"FY2008","","L''AZIATIQUE,INC."
"77","1100 NEW YORK AVE NW","ABRA‐
021540","Active","Haad Thai Restaurant, 
Inc.","Haad Thai Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2007",200708,"FY2007","","GILBERT RANDOLPH"
"78","1100 NEW YORK AVE NW","ABRA‐
021540","Active","Haad Thai Restaurant, 
Inc.","Haad Thai Restaurant","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","NOV 2008",200811,"FY2008","L'AZIATIQUE, INC.","MANULIFE FINANCIAL"
"79","1100 NEW YORK AVE NW","ABRA‐
082329","Active","Bibiana LLC","BiBiana","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","JUL 2002",200207,"FY2002","","GILBERT RANDOLPH"
"80","1100 NEW YORK AVE NW","ABRA‐
082329","Active","Bibiana LLC","BiBiana","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","MAY 2008",200805,"FY2008","","CAPITOL CITY BREWING COMPANY"
"81","1100 NEW YORK AVE NW","ABRA‐
082329","Active","Bibiana LLC","BiBiana","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2009",200908,"FY2009","BIBIANA, LLC.  ","JOHN HANCOCK LIFE INSURANCE CO."
"82","1100 NEW YORK AVE NW","ABRA‐
082329","Active","Bibiana LLC","BiBiana","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","FEB 2008",200802,"FY2008","","L''AZIATIQUE,INC."
"83","1100 NEW YORK AVE NW","ABRA‐
082329","Active","Bibiana LLC","BiBiana","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","AUG 2007",200708,"FY2007","","GILBERT RANDOLPH"
"84","1100 NEW YORK AVE NW","ABRA‐
082329","Active","Bibiana LLC","BiBiana","1100 NEW YORK AVE, NW, 
WASHINGTON, DC 20005","SMD 
2C01","C","Restaurant","NOV 2008",200811,"FY2008","L'AZIATIQUE, INC.","MANULIFE FINANCIAL"
"86","1101 17TH ST NW","ABRA‐
082039","Active","Barcode Corporation","Barcode","1101 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Tavern","JAN 2002",200201,"FY2002","","CHARLES E. SMITH"
"87","1101 17TH ST NW","ABRA‐
082039","Active","Barcode Corporation","Barcode","1101 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Tavern","AUG 2001",200108,"FY2001","","CHARLES E. SMITH"
"88","1101 17TH ST NW","ABRA‐
082039","Active","Barcode Corporation","Barcode","1101 17TH ST, NW, 
WASHINGTON, DC 20036","SMD 
2B05","C","Tavern","OCT 2010",201010,"FY2010","BARCODE CORPORATION","1101- 17TH STREET ASSOCIATES LIMITED PARTNERSHIP"
"89","1101 4TH ST SW","ABRA‐
094766","Active","Rudrakalash, LLC","Masala Art","1101 4TH ST, SW, UNIT# 120, 
WASHINGTON, DC 20024","SMD 
6D01","C","Restaurant","JUL 2014",201407,"FY2014","","USGBF WATERFRONT STATION LLC"
"90","1101 4TH ST SW","ABRA‐
094766","Active","Rudrakalash, LLC","Masala Art","1101 4TH ST, SW, UNIT# 120, 
WASHINGTON, DC 20024","SMD 
6D01","C","Restaurant","JUL 2014",201407,"FY2014","","USGBF WATERFRONT STATION LLC"
"91","1101 4TH ST SW","ABRA‐
094766","Active","Rudrakalash, LLC","Masala Art","1101 4TH ST, SW, UNIT# 120, 
WASHINGTON, DC 20024","SMD 
6D01","C","Restaurant","JUN 2011",201106,"FY2011","HUBALOU,  LLC","USGBF WATERFRONT STATION, LLC"
"92","1101 4TH ST SW","ABRA‐
086192","Active","Hubalou, LLC","Station 4","1101 4TH ST, SW, WASHINGTON,
DC 20024","SMD 
6D01","C","Restaurant","JUL 2014",201407,"FY2014","","USGBF WATERFRONT STATION LLC"
"93","1101 4TH ST SW","ABRA‐
086192","Active","Hubalou, LLC","Station 4","1101 4TH ST, SW, WASHINGTON,
DC 20024","SMD 
6D01","C","Restaurant","JUL 2014",201407,"FY2014","","USGBF WATERFRONT STATION LLC"
"94","1101 4TH ST SW","ABRA‐
086192","Active","Hubalou, LLC","Station 4","1101 4TH ST, SW, WASHINGTON,
DC 20024","SMD 
6D01","C","Restaurant","JUN 2011",201106,"FY2011","HUBALOU,  LLC","USGBF WATERFRONT STATION, LLC"
"97","1101 PENNSYLVANIA AVE NW","ABRA‐
074173","Active","Fogo De Chao 
Churrascaria (Washington 
D.C.),LLC","Fogo De Chao Churrascaria","1101 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","NOV 2002",200211,"FY2002","","ARCHIVES FINE DINING GROUP, LLC"
"98","1101 PENNSYLVANIA AVE NW","ABRA‐
074173","Active","Fogo De Chao 
Churrascaria (Washington 
D.C.),LLC","Fogo De Chao Churrascaria","1101 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","DEC 2005",200512,"FY2005","","JONES LANG LASALLE AMERICA''S"
"99","1101 PENNSYLVANIA AVE NW","ABRA‐
074173","Active","Fogo De Chao 
Churrascaria (Washington 
D.C.),LLC","Fogo De Chao Churrascaria","1101 PENNSYLVANIA AVE, NW, 
WASHINGTON, DC 20004","SMD 
2C01","C","Restaurant","NOV 2005",200511,"FY2005","","JONES LANG LASALLE AMERICA''S"
"100","1110 H ST NE","ABRA‐
096474","Active","Lattice Partners LLC","Copycat Co.","1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","NOV 2014",201411,"FY2014","YIN  GONG","EVANS WILLOUGHBY"
"101","1110 H ST NE","ABRA‐
096474","Active","Lattice Partners LLC","Copycat Co.","1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","JUN 2014",201406,"FY2014","","EVANS WILLOUGHBY"
"102","1110 H ST NE","ABRA‐
096474","Active","Lattice Partners LLC","Copycat Co.","1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","AUG 2011",201108,"FY2011","CHRISTOPHER  WILLOUGHBY","CHRISTOPHER WILLOUGHBY"
"103","1110 H ST NE","ABRA‐
096474","Active","Lattice Partners LLC","Copycat Co.","1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","JUL 2014",201407,"FY2014","","EVANS WILLOUGHBY"
"104","1110 H ST NE","ABRA‐
096474","Active","Lattice Partners LLC","Copycat Co.","1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","NOV 2014",201411,"FY2014","YIN  GONG","EVANS WILLOUGHBY"
"105","1110 H ST NE","ABRA‐
096474","Active","Lattice Partners LLC","Copycat Co.","1110 H ST, NE, WASHINGTON, 
DC 20002","SMD 
6A01","C","Tavern","JUN 2014",201406,"FY2014","","EVANS WILLOUGHBY"
"106","1110 VERMONT AVE NW","ABRA‐
086125","Active","Apple Hospitality, LLC","Lincoln","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","JAN 2007",200701,"FY2007","","PERSEUS REALTY LLC"
"107","1110 VERMONT AVE NW","ABRA‐
086125","Active","Apple Hospitality, LLC","Lincoln","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","NOV 2010",201011,"FY2010","MIO DC,LLC  ","1110 VERMONT RENAISSANCE ASSOCIATES LLC"
"108","1110 VERMONT AVE NW","ABRA‐
086125","Active","Apple Hospitality, LLC","Lincoln","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","MAR 2011",201103,"FY2011","","1110 VERMONT LP"
"109","1110 VERMONT AVE NW","ABRA‐
086125","Active","Apple Hospitality, LLC","Lincoln","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","APR 2007",200704,"FY2007","","PERSEUS REALTY LLC"
"110","1110 VERMONT AVE NW","ABRA‐
086125","Active","Apple Hospitality, LLC","Lincoln","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","SEP 2006",200609,"FY2006","","PERSEUS REALTY LLC"
"111","1110 VERMONT AVE NW","ABRA‐
086125","Active","Apple Hospitality, LLC","Lincoln","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","FEB 2007",200702,"FY2007","","PERSEUS REALTY LLC"
"112","1110 VERMONT AVE NW","ABRA‐
076072","Active","Mio, DC, LLC","Mio Restaurant","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","JAN 2007",200701,"FY2007","","PERSEUS REALTY LLC"
"113","1110 VERMONT AVE NW","ABRA‐
076072","Active","Mio, DC, LLC","Mio Restaurant","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","NOV 2010",201011,"FY2010","MIO DC,LLC  ","1110 VERMONT RENAISSANCE ASSOCIATES LLC"
"114","1110 VERMONT AVE NW","ABRA‐
076072","Active","Mio, DC, LLC","Mio Restaurant","1110 VERMONT AVE, NW, 
WASHINGTON, DC 20005","SMD 
2F05","C","Restaurant","MAR 2011",201103,"FY2011","","1110 VERMONT LP"
