,Names,Streets,Towns,TownsPlanning,Type,Type2
19,18th Street Brewery,5725 Miller Ave ,"Gary, IN 46403-2871 | Map",5725 Miller Ave ,Type: Contract,1912 Brewing
20,1912 Brewing,"2045 N. Forbes Blvd., #105 ","Tucson, AZ 85745 | Map","2045 N. Forbes Blvd., #105 ",Phone: (520) 256-4851,Type: Micro
21,192 Brewing,7324 NE 175th St ,"Kenmore, WA 98028-2500 | Map",7324 NE 175th St ,Phone: (425) 424-2337,Type: Micro
22,1933 Brewing Co,4025 S Mason St ,"Fort Collins, CO 80525-5953 | Map",4025 S Mason St ,Phone: (970) 377-4107,Type: Micro
23,1940's Brewing Company,211A Main St ,"Farmingdale, NY 11735-2675 | Map",211A Main St ,Type: Proprietor,www.1940sbrewingcompany.com
24,1st Republic Brewing Co,16 King Rd ,"Fairfax, VT 05454-9616 | Map",16 King Rd ,Phone: (802) 598-9281,Type: Micro
25,2 Row Brewing, ,"Midvale, UT 84047", ,Type: Planning,2 Tread Brewing Co
26,2 Tread Brewing Co, ,"San Francisco, CA 94131", ,Type: Planning,www.2treadbrewing.com
27,2 Witches Winery and Brewing Company,209 Trade St ,"Danville, VA 24541-3545 | Map",209 Trade St ,Phone: (434) 549-2739,Type: Micro
28,20 Corners Brewing Co., ,"Woodinville, WA 98072-8437", ,Type: Planning,212 Brewing Company
29,212 Brewing Company,902 Broadway ,"New York, NY 10010-6002 | Map",902 Broadway ,Phone: (212) 377-9050,Type: Contract
30,217 Brew Works, ,"Wilson, NC 27893-4911", ,Phone: (513) 490-7472,Type: Planning
31,21st Amendment Brewery,2010 Williams Street ,"San Leandro, CA 94577-2334 | Map",2010 Williams Street ,Phone: (415) 369-0900,Type: Regional
32,21st Amendment Brewery,563 2nd St ,"San Francisco, CA 94107-1411 | Map",563 2nd St ,Phone: (415) 369-0900,Type: Brewpub
33,23rd Street Brewery,3512 Clinton Pkwy ,"Lawrence, KS 66047-2145 | Map",3512 Clinton Pkwy ,Phone: (785) 856-2337,Type: Brewpub
34,26 Degree Brewing Company,2600 E Atlantic Blvd ,"Pompano Beach, FL 33062-4940 | Map",2600 E Atlantic Blvd ,Type: Micro,www.26brewing.com
35,2Kids Brewing Company,8680 Miralani Dr Ste 123 ,"San Diego, CA 92126-6391 | Map",8680 Miralani Dr Ste 123 ,Phone: (858) 480-5437,Type: Micro
36,2nd Shift Brewing Co,101 Cedar Creek Rd ,"New Haven, MO 63068-2068 | Map",101 Cedar Creek Rd ,Phone: (618) 791-0728,Type: Micro
37,2nd Story Brewing Company,117 Chestnut St ,"Philadelphia, PA 19106-3074 | Map",117 Chestnut St ,Phone: (267) 314-5770,Type: Brewpub
38,2SP Brewing Company,120 Concord Rd ,"Aston, PA 19014 | Map",120 Concord Rd ,Phone: (484) 483-7860,Type: Micro
39,3 Daughters Brewing,222 22nd St S Bldg 1 ,"Saint Petersburg, FL 33712-1240 | Map",222 22nd St S Bldg 1 ,Phone: (727) 495-6002,Type: Micro
40,3 Freaks Brewing Co,7140 E County Line Rd ,"Highlands Ranch, CO 80126-3926 | Map",7140 E County Line Rd ,Phone: (720) 299-0994,Type: Micro
41,3 Guys and A Beer'd Brewing Co,10 Enterprise ,"Carbondale, PA 18407-1880 | Map",10 Enterprise ,Phone: (570) 280-2739,Type: Micro
42,3 Little Pigs Brewery, ,"Waxhaw, NC 28173", ,Type: Planning,3 Nations Brewing
43,3 Nations Brewing,2405 Squire Pl Ste. 200 ,"Farmers Branch, TX 75234-4743 | Map",2405 Squire Pl Ste. 200 ,Phone: (469) 660-7184,Type: Micro
44,3 Sheeps Brewing Co,1327 Huron Ave ,"Sheboygan, WI 53081-3282 | Map",1327 Huron Ave ,Phone: (920) 395-3583,Type: Micro
45,3 Sheets Brewing Company, ,"Albany, OR ", ,Phone: (541) 619-0183,Type: Micro
46,3 Sons Brewery, ,"Davies, FL ", ,Phone: (954) 601-3833,Type: Contract
47,3 Stars Brewing Co,6400 Chillum Pl NW Ste B ,"Washington, DC 20012-2111 | Map",6400 Chillum Pl NW Ste B ,Phone: (202) 670-0333,Type: Micro
48,30 Mile Brewing Co., ,"Northford, CT ", ,Type: Planning,300 Suns Brewing Company
49,300 Suns Brewing Company,335 1st Ave Unit C ,"Longmont, CO 80501-5958 | Map",335 1st Ave Unit C ,Type: Micro,www.300sunsbrewing.com
50,303 Brewing Company, ,"Denver, CO 80220-8896", ,Phone: (303) 720-7550,Type: Planning
51,32 North Brewing Co,8655 Production Ave Ste A ,"San Diego, CA 92121-2258 | Map",8655 Production Ave Ste A ,Phone: (714) 791-8973,Type: Micro
52,33 Restaurant Group - Brewery In Planning , ,"Frisco, TX 75034-8563", ,Type: Planning,350 Brewing Co
53,350 Brewing Co,7144 W 183rd St ,"Tinley Park, IL 60477 | Map",7144 W 183rd St ,Phone: (708) 518-2239,Type: Micro
54,38 State Brewing,8071 S Broadway Ste A ,"Littleton, CO 80122-2730 | Map",8071 S Broadway Ste A ,Phone: (720) 638-3678,Type: Micro
55,3cross Brewing Company, ,"Worcester, MA 01602", ,Type: Micro,3rd Wave Brewing Co
56,3rd Wave Brewing Co,501 N Bi State Blvd ,"Delmar, DE 19940-1106 | Map",501 N Bi State Blvd ,Phone: (302) 907-0423,Type: Micro
57,4 Brothers Blended Beer Co,W220 N1531 Jericho Ct Unit E ,"Waukesha, WI 53186 | Map",W220 N1531 Jericho Ct Unit E ,Type: Contract,www.4brothersblendedbeer.com
58,4 Hands Brewing Co,1220 S 8th St ,"Saint Louis, MO 63104-3610 | Map",1220 S 8th St ,Phone: (314) 436-1559,Type: Micro
59,4 Noses Brewing Company,8855 W 116th Cir ,"Broomfield, CO 80021-2522 | Map",8855 W 116th Cir ,Phone: (720) 460-2797,Type: Micro
60,40 Arpent Brewing Co,6809 N Peters St ,"Arabi, LA 70032-1039 | Map",6809 N Peters St ,Phone: (504) 444-3972,Type: Micro
61,406 Brewing Company,101 E Oak St Ste D ,"Bozeman, MT 59715-2939 | Map",101 E Oak St Ste D ,Type: Micro,www.406brewingcompany.com
62,42 North Brewing Company,25 Pine Street ,"East Aurora, NY 14052-1827 | Map",25 Pine Street ,Type: Micro,www.42northbrewing.com
63,4204 Main St Brewing Co,4204 W Main St ,"Belleville, IL 62226-5501 | Map",4204 W Main St ,Phone: (618) 416-7261,Type: Brewpub
64,450 North Brewing Company @ Simmons Winery,8111 E 450 N ,"Columbus, IN 47203-8106 | Map",8111 E 450 N ,Phone: (812) 546-0091,Type: Brewpub
65,49th State Brewing Co,PO Box 107 ,"Denali National Park, AK 99755-0107 | Map",PO Box 107 ,Phone: (907) 683-2739,Type: Brewpub
66,4th Age Brewing, ,"Miami, FL 33185", ,Phone: 305-781-9049,Type: Planning
67,4th Tap Brewing Cooperative,10615 Metric Blvd ,"Austin, TX 78758-4520 | Map",10615 Metric Blvd ,Phone: (512) 904-9817,Type: Micro
68,5 Boroughs Brewery, ,"New York, NY 10011", ,Type: Planning,www.5boroughsbrewery.com
69,5 O'Clock Brew Co., ,"Warminster, PA 18974", ,Type: Planning,www.5oclockbrew.com
70,5 Rabbit Cerveceria Inc,6398 W 74th St ,"Chicago, IL 60638-6129 | Map",6398 W 74th St ,Phone: (312) 895-9591,Type: Micro
71,5 Rights Brewing Co,7028 46th St NE ,"Marysville, WA 98270 | Map",7028 46th St NE ,Phone: (425) 334-1026,Type: Micro
72,5 Seasons Brewing Co - North,3655 Old Milton Pkwy ,"Alpharetta, GA 30005-4487 | Map",3655 Old Milton Pkwy ,Phone: (770) 521-5551,Type: Brewpub
73,5 Seasons Brewing Co - Prado,5600 Roswell Rd ,"Sandy Springs, GA 30342-1150 | Map",5600 Roswell Rd ,Phone: (404) 255-5911,Type: Brewpub
74,5 Seasons Brewing Co - Westside,1000 Marietta St NW Ste 204 ,"Atlanta, GA 30318-0683 | Map",1000 Marietta St NW Ste 204 ,Phone: (404) 875-3232,Type: Brewpub
75,5 Stones Artisan Brewery,850 Schneider ,"Cibolo, TX 78108-3296 | Map",850 Schneider ,Phone: (210) 578-4373,Type: Micro
76,50 Back Brewing Co,5 Village Rd ,"Pepperell, MA 01463-1182 | Map",5 Village Rd ,Phone: (978) 265-1610,Type: Contract
77,51 North Brewing Co,51 N Broadway St ,"Lake Orion, MI 48362-3125 | Map",51 N Broadway St ,Phone: (248) 690-7367,Type: Brewpub
78,515 Brewing Co,7700 University Ave ,"Clive, IA 50325-1271 | Map",7700 University Ave ,Phone: (515) 999-0419,Type: Micro
79,51st Ward Beer Company,323 N. Washington St ,"Westmont, IL 60559-1512 | Map",323 N. Washington St ,Phone: (844) 451-2337,Type: Micro
80,53 Peaks Brewing,1710 S Broadway ,"Denver, CO 80210-3102 | Map",1710 S Broadway ,Type: Contract,www.53peaksbrewing.com
81,54-40 Brewing Company,3801 S Truman Rd ,"Washougal, WA 98671-2582 | Map",3801 S Truman Rd ,Type: Micro,56 Brewing
82,56 Brewing,"3134 California St NE, Ste 122 ","Minneapolis, MN 55418-1789 | Map","3134 California St NE, Ste 122 ",Phone: (612) 404-0056,Type: Micro
83,57 Brew Pub & Bistro,1310 W Washington St ,"Greenville, MI 48838-2190 | Map",1310 W Washington St ,Type: Brewpub,"58 Counties Brewery, LLC."
84,"58 Counties Brewery, LLC.", ,"Wahiawa, HI ", ,Type: Planning,603 Brewery
85,603 Brewery,12 Liberty Dr Unit 7 ,"Londonderry, NH 03053-2286 | Map",12 Liberty Dr Unit 7 ,Phone: (603) 630-7745,Type: Micro
86,612 Brew,945 Broadway St NE ,"Minneapolis, MN 55413-1471 | Map",945 Broadway St NE ,Phone: (612) 964-8939,Type: Micro
87,7 Devils Brewing Co,249 S 2nd St ,"Coos Bay, OR 97420-1642 | Map",249 S 2nd St ,Phone: (541) 808-3738,Type: Brewpub
88,7 Hermits Brewing Company,717 Sylvan Lake Rd #B-1 ,"Eagle, CO 81631 | Map",717 Sylvan Lake Rd #B-1 ,Phone: (970) 328-6220,Type: Brewpub
89,7 Hills Brewing Co,115 S 15th St ,"Richmond, VA 23219-4252 | Map",115 S 15th St ,Phone: (804) 716-8307,Type: Micro
90,7 Locks Brewing, ,"Rockville, MD 20852-1833", ,Type: Planning,www.7locksbrewing.com
91,7 Seas Brewing Co,3006 Judson St Ste 110 ,"Gig Harbor, WA 98335-1226 | Map",3006 Judson St Ste 110 ,Phone: (253) 514-8129,Type: Micro
92,75th Street Brewery,520 W 75th St ,"Kansas City, MO 64114-1513 | Map",520 W 75th St ,Phone: (816) 523-4677,Type: Brewpub
93,77 Beer Co, ,"New York, NY 10036", ,Type: Contract,www.beer77.com
94,7th Settlement Brewery,47 Washington St ,"Dover, NH 03820-3877 | Map",47 Washington St ,Type: Micro,www.7thsettlement.com
95,7venth Sun Brewery,1012 Broadway ,"Dunedin, FL 34698-5762 | Map",1012 Broadway ,Phone: (727) 773-3013,Type: Micro
96,841 Brewhouse,841 E Milwaukee St ,"Whitewater, WI 53190-2126 | Map",841 E Milwaukee St ,Phone: (262) 473-8000,Type: Brewpub
97,8-Bit Aleworks,1050 N Fairway Dr F - 101 ,"Avondale, AZ 85323 | Map",1050 N Fairway Dr F - 101 ,Phone: (623) 925-1650,Type: Micro
98,8th Amendment Brewing, ,"Ladson, SC 29456", ,Type: Planning,8th Wonder Brewing Co
99,8th Wonder Brewing Co,2202 Dallas St ,"Houston, TX 77003-3519 | Map",2202 Dallas St ,Phone: (713) 397-0072,Type: Micro
100,902 Brewing Co,902 Washington St. ,"Hoboken, NJ 07030-5106 | Map",902 Washington St. ,Type: Contract,www.902brewing.com
101,903 Brewers,1720 S Elm St ,"Sherman, TX 75090-8725 | Map",1720 S Elm St ,Phone: (214) 243-8090,Type: Micro
102,a, ,",  ", ,A Taste of Long Island Craft Brewery,211 Main St 
103,A Taste of Long Island Craft Brewery,211 Main St ,"Farmingdale, NY 11735 | Map",211 Main St ,Phone: (516) 694-2859,Type: Proprietor
104,Aardwolf Brewing Company,1461 Hendricks Ave ,"Jacksonville, FL 32207-8622 | Map",1461 Hendricks Ave ,Phone: (904) 301-0755,Type: Micro
105,Abandon Brewing,2994 Merritt Hill Rd ,"Penn Yan, NY 14527-8938 | Map",2994 Merritt Hill Rd ,Phone: (585) 209-3276,Type: Micro
106,Abandoned Building Brewery,142 Pleasant Street Unit 103A ,"Easthampton, MA 01027-2805 | Map",142 Pleasant Street Unit 103A ,Phone: (413) 282-7062,Type: Micro
107,Abbey Brewing Co,1115 16th St ,"Miami Beach, FL 33139-2441 | Map",1115 16th St ,Phone: (305) 538-8110,Type: Contract
108,"Abbey Brewing Company, LLC",PO Box 22779 ,"Santa Fe, NM 87502-2779 | Map",PO Box 22779 ,Phone: (505) 670-6802,Type: Micro
109,Abbey of the Holy Goats, ,"Roswell, GA 30075-3543", ,Type: Planning,Abbey Ridge Brewery & Tap Room
110,Abbey Ridge Brewery & Tap Room,24 Brewster Valley ,"Pomona, IL 62975-0027 | Map",24 Brewster Valley ,Phone: (618) 634-1767,Type: Brewpub
111,Abbey Wright Brewing Co / Valley Inn,204 Valley St ,"Williamsport, PA 17702-6738 | Map",204 Valley St ,Phone: (570) 326-3383,Type: Brewpub
112,Aberrant Ales, ,",  ", ,Type: Planning,www.aberrantales.com
113,Abita Brewing Co,21084 Highway 36 ,"Covington, LA 70433-9200 | Map",21084 Highway 36 ,Phone: (985) 893-3143,Type: Regional
114,Able Baker Brewing, ,"Las Vegas, NV 89135", ,Type: Planning,www.ablebakerbrewing.com
115,Able Ebenezer Brewing Company,31 Columbia Cir ,"Merrimack, NH 03054-4161 | Map",31 Columbia Cir ,Phone: (844) 223-2253,Type: Micro
116,Able Seedhouse and Brewery,1121 Quincy St. NE ,"Minneapolis, MN 55413 | Map",1121 Quincy St. NE ,Phone: (612) 405-4642,Type: Micro
117,Abnormal Beer Company,16990 Via Tazon Suite 123 ,"San Diego, CA 92127-1649 | Map",16990 Via Tazon Suite 123 ,Phone: (858) 618-2463,Type: Brewpub
118,ABQ Brew Pub,6601 Uptown Blvd NE Ste B ,"Albuquerque, NM 87110-4207 | Map",6601 Uptown Blvd NE Ste B ,Phone: (505) 884-1116,Type: Brewpub
119,Absolution Brewing Co,2878 Columbia St ,"Torrance, CA 90503-3808 | Map",2878 Columbia St ,Phone: (310) 490-4860,Type: Micro
120,Acoustic Ales Brewing Experiment,1795 Hancock St Ste P1 ,"San Diego, CA 92110-2006 | Map",1795 Hancock St Ste P1 ,Type: Micro,www.acousticales.com
121,"Actual Brewing Company, LLC",655 N James Rd ,"Columbus, OH 43219-1837 | Map",655 N James Rd ,Phone: (614) 284-3741,Type: Micro
122,Adam's Northwest Bistro / Twin Rivers Brewing,104 N Lewis St ,"Monroe, WA 98272-1502 | Map",104 N Lewis St ,Phone: (360) 794-4056,Type: Brewpub
123,Adelbert's Brewery LLC,2314 Rutland Dr Ste 100 ,"Austin, TX 78758-5273 | Map",2314 Rutland Dr Ste 100 ,Type: Micro,www.adelbertsbeer.com
124,Adirondack Pub and Brewery,33 Canada St ,"Lake George, NY 12845-1603 | Map",33 Canada St ,Phone: (518) 668-0002,Type: Brewpub
125,Adirondack Toboggan Company Microbrewery,202A W Main St ,"Gouverneur, NY 13642-1334 | Map",202A W Main St ,Phone: (315) 771-6313,Type: Micro
126,Adroit Theory Brewing Company,404 Browning Ct Unit C ,"Purcellville, VA 20132-6171 | Map",404 Browning Ct Unit C ,Phone: (703) 434-0553,Type: Micro
127,Adueduct Brewing,529 Grant St. Suite 106 ,"Akron, OH 44311-1184 | Map",529 Grant St. Suite 106 ,Phone: (303) 606-6583,Type: Micro
128,Adventure Brewing Co,33 Perchwood Dr Ste 101 ,"Fredericksburg, VA 22405-4552 | Map",33 Perchwood Dr Ste 101 ,Phone: (540) 242-8876,Type: Micro
129,Aeronaut Brewing Company,14 Tyler St ,"Somerville, MA 02143-3224 | Map",14 Tyler St ,Phone: (617) 718-0602,Type: Micro
130,Aftershock Brewing Co,28822 Old Town Front St Ste 107 ,"Temecula, CA 92590-2723 | Map",28822 Old Town Front St Ste 107 ,Phone: (951) 972-2256,Type: Micro
131,Against the Grain Brewery,401 E Main St ,"Louisville, KY 40202-1110 | Map",401 E Main St ,Phone: (502) 515-0174,Type: Micro
132,Agner & Wolf Brewery,"4 Bud Way, Vantage Point 3, Unit 16-18 ","Nashua, NH 03063 | Map","4 Bud Way, Vantage Point 3, Unit 16-18 ",Phone: (617) 319-9957,Type: Micro
133,"Agrarian Ales, LLC",31115 W Crossroads Ln ,"Eugene, OR 97408-9220 | Map",31115 W Crossroads Ln ,Type: Micro,www.agales.com
134,Agua Clara Brewery Inc, ,"Miami, FL ", ,Type: Planning,Ahnapee Brewery
135,Ahnapee Brewery,115 Navarino St ,"Algoma, WI 54201-1246 | Map",115 Navarino St ,Phone: (920) 487-5208,Type: Micro
136,Aiken Brewing Co,140 Laurens St SW ,"Aiken, SC 29801-3848 | Map",140 Laurens St SW ,Phone: (803) 502-0707,Type: Brewpub
137,Airways Brewing Co,6644 S 196th St Ste T100 ,"Kent, WA 98032-2124 | Map",6644 S 196th St Ste T100 ,Phone: (253) 200-1707,Type: Brewpub
138,Akasha Brewing Company,909 E Market St Suite 700 ,"Louisville, KY 40206-1688 | Map",909 E Market St Suite 700 ,Phone: (502) 742-7770,Type: Micro
139,Alameda Brewing Co,4736 SE 24th Ave ,"Portland, OR 97202-4787 | Map",4736 SE 24th Ave ,Phone: (503) 460-9025,Type: Micro
140,Alameda Brewing Co,4765 NE Fremont St ,"Portland, OR 97213-1724 | Map",4765 NE Fremont St ,Phone: (503) 460-9025,Type: Micro
141,Alameda Island Brewing Company,1716 Park Street ,"Alameda, CA 94501-1416 | Map",1716 Park Street ,Phone: (510) 217–8885,Type: Micro
142,Alamo Beer Co,415 Burnet Street ,"San Antonio, TX 78202 | Map",415 Burnet Street ,Phone: (210) 872-5589,Type: Contract
143,Alarmist Brewing Co, ,"Chicago, IL ", ,Type: Planning,www.panicbrewing.com
144,Alaskan Brewing Co.,5429 Shaune Dr ,"Juneau, AK 99801-9540 | Map",5429 Shaune Dr ,Phone: (907) 780-5866,Type: Regional
145,Albia Brewing Co,11 Benton Ave E ,"Albia, IA 52531-2032 | Map",11 Benton Ave E ,Phone: (641) 932-4085,Type: Brewpub
146,Alchemist Cannery,35 Crossroad ,"Waterbury, VT 05676-9003 | Map",35 Crossroad ,Phone: (802) 244-7744,Type: Micro
147,Aldus Brewing Company,555 Centennial Avenue ,"Hanover, PA 17331-3936 | Map",555 Centennial Avenue ,Phone: (717) 634-2407,Type: Brewpub
148,Ale Asylum,2002 Pankratz St ,"Madison, WI 53704-4024 | Map",2002 Pankratz St ,Phone: (608) 663-3926,Type: Regional
149,Ale House Brewing Co,4020 Colmery Ct ,"San Jose, CA 95118 | Map",4020 Colmery Ct ,Phone: (408) 390-7574,Type: Micro
150,Ale Industries,3096 E 10th St ,"Oakland, CA 94601-2960 | Map",3096 E 10th St ,Phone: (925) 470-5280,Type: Micro
151,Ale Syndicate Brewers,2601 W Diversey Ave ,"Chicago, IL 60647-1817 | Map",2601 W Diversey Ave ,Phone: (773) 340-2337,Type: Micro
152,AleSmith Brewing Co,9990 AleSmith Court ,"San Diego, CA 92126 | Map",9990 AleSmith Court ,Phone: (858) 549-9888,Type: Micro
153,AleSong Brewing and Blending, ,"Eugene, OR 97405", ,Type: Planning,www.alesongbrewing.com
154,Alewerks Brewing Company,189B Ewell Rd ,"Williamsburg, VA 23188-2185 | Map",189B Ewell Rd ,Phone: (757) 220-3670,Type: Micro
155,Alexandria's Brewery, ,"Findlay, OH 45840-4803", ,Phone: (419) 424-5750,Type: Planning
156,Alibi Ale Works,204 E. Enterprise St. ,"Incline Village, NV 89451-9456 | Map",204 E. Enterprise St. ,Phone: (775) 298-7001,Type: Micro
157,All Rise Brewing Co,235 N Ashland Ave ,"Chicago, IL 60607-1401 | Map",235 N Ashland Ave ,Phone: (312) 226-6300,Type: Brewpub
158,All Saints Brewing Co,1602 State Route 119 ,"Greensburg, PA 15601-7317 | Map",1602 State Route 119 ,Phone: (724) 289-1202,Type: Micro
159,Allagash Brewing Co,50 Industrial Way ,"Portland, ME 04103-1270 | Map",50 Industrial Way ,Phone: (207) 878-5385,Type: Regional
160,Allegheny City Brewing, ,"Pittsburgh, PA 15212-4910", ,Type: Planning,www.alleghenycitybrewing.com
161,Allens Landing Brewing Company, ,"Houston, TX 77018", ,Type: Planning,www.allenslandingbrewingcompany.com
162,Allentown Brew Works,812 Hamilton St ,"Allentown, PA 18101-2412 | Map",812 Hamilton St ,Phone: (610) 433-7777,Type: Brewpub
163,Alliance Brewing Company, ,"Knoxville, TN 37922", ,Type: Micro,www.alliancebrewingco.com
164,Alligator Brewing / Tall Paul's Brewhouse,10 SE 2nd Ave ,"Gainesville, FL 32601-6232 | Map",10 SE 2nd Ave ,Phone: (352) 505-0990,Type: Micro
165,Alltech's Lexington Brewing & Distilling Co,475 Angliana Ave.  ,"Lexington, KY 40508 | Map",475 Angliana Ave.  ,Phone: (859) 887-3406,Type: Regional
166,Alluvial Brewing Company,3715 West 190th St ,"Ames, IA 50014-9316 | Map",3715 West 190th St ,Phone: (515) 337-1182,Type: Micro
167,Almanac Beer Company,2325 3rd St Ste 202 ,"San Francisco, CA 94107-3167 | Map",2325 3rd St Ste 202 ,Phone: (415) 992-3438,Type: Contract
168,Alosta Brewing Co,692 Arrow Grand Cir ,"Covina, CA 91722-2122 | Map",692 Arrow Grand Cir ,Phone: (626) 470-7897,Type: Micro
169,Alpenglow Beer Co, ,"Lafayette, CA ", ,Type: Planning,www.buckwildbrew.com
170,Alpha Acid Brewing Co,121 Industrial Road. Ste 12 ,"Belmont, CA 94002-8208 | Map",121 Industrial Road. Ste 12 ,Type: Micro,www.alphaacidbrewing.com
171,Alpha Brewing Co.,1409 Washington Ave Rear ,"Saint Louis, MO 63103-1936 | Map",1409 Washington Ave Rear ,Phone: (314) 621-2337,Type: Micro
172,Alphabet City Beer Co,96 Avenue C Frnt 4 ,"New York, NY 10009-7055 | Map",96 Avenue C Frnt 4 ,Type: Contract,www.acbnyc.com
173,Alpine Beer Co,PO Box 2530 ,"Alpine, CA 91903-2530 | Map",PO Box 2530 ,Phone: (619) 445-2337,Type: Brewpub
174,Alpine Brewing Co,PO Box 2320 ,"Oroville, WA 98844-2320 | Map",PO Box 2320 ,Phone: (509) 476-9662,Type: Micro
175,Alpine Dog Brewing Co,1505 Ogden St ,"Denver, CO 80218-1405 | Map",1505 Ogden St ,Phone: (720) 214-5170,Type: Micro
176,Altamont Beer Works,2402 Research Dr ,"Livermore, CA 94550-3850 | Map",2402 Research Dr ,Phone: (925) 294-8970,Type: Micro
177,Altamont Brewing,1042 Haywood Rd ,"Asheville, NC 28806-2639 | Map",1042 Haywood Rd ,Phone: (828) 575-2400,Type: Micro
178,Alter Brewing Company,2300 Wisconsin Ave. Unit 213 ,"Downers Grove, IL 60515-4021 | Map",2300 Wisconsin Ave. Unit 213 ,Phone: (630) 541-9558,Type: Micro
179,Altitude Chophouse and Brewery,320 S 2nd St ,"Laramie, WY 82070-3612 | Map",320 S 2nd St ,Phone: (307) 721-4031,Type: Brewpub
180,Altmeyer & Lewis Brewing, ,"San Marcos, TX 78666-2418", ,Type: Planning,Alvarado Street Brewery & Grill
181,Alvarado Street Brewery & Grill,426 Alvarado St ,"Monterey, CA 93940-2711 | Map",426 Alvarado St ,Type: Brewpub,www.alvaradostreetbrewery.com
182,Alynn Morgan Brewing Company, ,"Wallingford, CT ", ,Type: Planning,www.alynnmorganbrewing.com
183,Ambacht Brewing,1060 NE 25th Ave Ste B ,"Hillsboro, OR 97124-4903 | Map",1060 NE 25th Ave Ste B ,Phone: (503) 828-1400,Type: Micro
184,Amber Lantern Brewing Company,44 N Main St ,"Warsaw, NY 14569-1326 | Map",44 N Main St ,Phone: (585) 786-3559,Type: Brewpub
185,American Brewers Inc, ,"Kalamazoo, MI 49001-4111", ,Phone: (269) 217-1920,Type: Planning
186,American Brewing Co,180 W Dayton St Warehouse 102,"Edmonds, WA 98020-7211 | Map",180 W Dayton St Warehouse 102,Type: Micro,www.americanbrewing.co
187,American Craft Brewers Co-op, ,"Carlsbad, CA 92011-4652", ,Phone: (619) 888-3142,Type: Planning
188,American Dream Brewing, ,"Thousand Oaks, CA 91360-5224", ,Phone: (310) 780-5345,Type: Planning
189,American Honor Beer Co,700 N Pennsylvania Ave ,"Wilkes Barre, PA 18705-2451 | Map",700 N Pennsylvania Ave ,Phone: (800) 961-8176,Type: Contract
190,American River Brewing Co,11151 Trade Center Dr Ste 104 ,"Rancho Cordova, CA 95670-6403 | Map",11151 Trade Center Dr Ste 104 ,Phone: (916) 508-0098,Type: Micro
191,"Americana Brewery
", ,"Fort Lauderdale, FL 33328-1606", ,Phone: (954) 476-8762,Type: Planning
